Name,Population
Antwerpen,1057736
Mechelen,347125
Turnhout,464869
Nijvel,406019
Aat,128468
Charleroi,396962
La Louvière,141470
Bergen,259237
Zinnik,105179
Thuin,91725
Doornik-Moeskroen,223799
Hoei,113869
Luik,625765
Verviers,288277
Borgworm,81889
Hasselt,420312
Maaseik,252115
Tongeren,204943
Aarlen,62996
Bastenaken,49083
Marche-en-Famenne,56771
Neufchâteau,63763
Virton,54139
Dinant,111286
Namen,318231
Philippeville,66315
Aalst,293650
Dendermonde,202411
Eeklo,85692
Gent,564042
Oudenaarde,124610
Sint-Niklaas,254850
Brussel-Hoofdstad,1218255
Halle-Vilvoorde,643766
Leuven,512077
Brugge,282745
Diksmuide,51696
Ieper,106570
Kortrijk,292493
Oostende,157780
Roeselare,154494
Tielt,93428
Veurne,61739
